Name,January,February,March,April,May,June,July,August,September,October,November,December
Apples,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y
Apricots,N,N,N,N,N,N,Y,Y,N,N,N,N
Blackberries,N,N,N,N,N,N,Y,Y,N,N,N,N
Blueberries,N,N,N,N,N,N,N,Y,Y,N,N,N
Cherries (pie),N,N,N,N,N,N,Y,Y,N,N,N,N
Crab Apples,N,N,N,N,N,N,N,Y,Y,Y,N,N
Cranberries,N,N,N,N,N,N,N,N,Y,Y,N,N
Currants,N,N,N,N,N,N,Y,N,N,N,N,N
Gooseberries,N,N,N,N,N,Y,Y,N,N,N,N,N
Grapes,N,N,N,N,N,N,N,N,Y,N,N,N
Kiwi,Y,N,N,N,N,N,N,N,N,Y,Y,Y
Melons,N,N,N,N,N,N,N,Y,Y,N,N,N
Nectarines,N,N,N,N,N,N,Y,Y,N,N,N,N
Peaches,N,N,N,N,N,N,N,Y,N,N,N,N
Pears,N,N,N,N,N,N,N,Y,Y,Y,Y,Y
Plums,N,N,N,N,N,N,N,Y,Y,N,N,N
Prunes,N,N,N,N,N,N,N,Y,Y,N,N,N
Quince,N,N,N,N,N,N,N,N,N,Y,Y,N
Raspberries,N,N,N,N,N,N,Y,Y,N,N,N,N
Rhubard - Field,N,N,N,Y,Y,Y,Y,Y,N,N,N,N
Saskatoon Berries,N,N,N,N,N,Y,Y,N,N,N,N,N
Strawberries,N,N,N,N,N,Y,Y,Y,Y,N,N,N
