Name,January,February,March,April,May,June,July,August,September,October,November,December
Bay Leaves,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Basils,N,N,N,N,N,Y,Y,Y,Y,Y,N,N
Chives,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N
Chives - garlic,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N
Chervil,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y
Cilantro,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Dill-leaf,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N
Dill-seed,N,N,N,N,N,N,N,Y,Y,Y,N,N
Epazote,N,N,N,N,N,Y,Y,Y,Y,Y,N,N
Fennel-leaf,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Fennel-seed,N,N,N,N,N,N,N,Y,Y,N,N,N
Lavendar,N,N,N,N,N,Y,Y,Y,N,N,N,N
Lemon Grass,N,N,N,N,N,N,Y,Y,Y,N,N,N
Lemon verbana,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N
Marjoram - sweet,N,N,N,N,N,N,Y,Y,Y,Y,N,N
Mints,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N
Oreganoes,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N
Parsleys,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Rosemarys,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Sages,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Savory - summer,N,N,N,N,N,N,Y,Y,Y,Y,N,N
Savory - winter,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Shiso,N,N,N,N,N,N,Y,Y,Y,Y,Y,N
Sorrel,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N
Tarragon - french,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N
Thymes,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
