Name,January,February,March,April,May,June,July,August,September,October,November,December
Artichokes,N,N,N,N,N,N,N,Y,Y,Y,N,N
Asparagus,N,N,N,N,Y,Y,N,N,N,N,N,N
Beans (Fresh),N,N,N,N,N,N,Y,Y,Y,N,N,N
Beans (Dried),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Beets,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y
Broccoli,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y
Brussel Sprouts,N,N,N,N,N,N,N,N,Y,Y,Y,Y
Cabbage-Green & Red,N,N,N,N,N,N,N,N,Y,Y,Y,N
Cabbage-Savoy & Red,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y
Carrots,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y
Cauliflower,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y
Celery,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N
Chard-Swiss,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N
Corn,N,N,N,N,N,N,Y,Y,Y,Y,N,N
Cucumbers,N,N,N,N,N,N,Y,Y,Y,N,N,N
Fennel (Bulb),N,N,N,N,N,Y,Y,Y,Y,Y,N,N
Garlic (Fresh),N,N,N,N,N,Y,Y,Y,Y,Y,N,N
Garlic (Dried),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Kale,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Leeks,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y
Lettuce,N,N,N,N,N,N,Y,Y,Y,Y,Y,N
Mushroom,Y,Y,Y,N,N,N,N,N,N,N,Y,Y
Mustard Greens,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N
Onions-Green,N,N,N,N,Y,Y,Y,Y,Y,N,N,N
Onions-Red/Yellow,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y
Parsnips,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y
Peas,N,N,N,N,Y,Y,Y,N,N,N,N,N
Peppers,N,N,N,N,,N,Y,Y,Y,Y,N,N
Potatoes - New,N,N,N,N,Y,Y,Y,N,N,N,N,N
"Potatoes - Red, Russet, Yellow",N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
Potatoes - White,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
Pumpkin,N,N,N,N,N,N,N,N,Y,Y,Y,N
Radishes,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N
Rhubard-Field,N,N,N,Y,Y,Y,Y,N,N,N,N,N
Rutabagas,N,N,N,N,N,N,N,Y,Y,Y,Y,Y
Salad Greens,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N
Shallots,N,N,N,N,N,N,N,Y,N,N,N,N
Spinach,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N
Squash-Summer,N,N,N,N,N,Y,Y,Y,N,N,N,N
Squash-Winter,N,N,N,N,N,N,N,N,Y,Y,Y,Y
Tomatoes,N,N,N,N,N,Y,Y,Y,Y,Y,N,N
Turnips-White,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y
Zucchini,N,N,N,N,N,Y,Y,Y,Y,Y,N,N
